epoch = 0  |  train_loss = 0.165517  |  val_loss = 0.152572  |  training_for: 1.78
epoch = 1  |  train_loss = 0.151432  |  val_loss = 0.149864  |  training_for: 3.21
epoch = 2  |  train_loss = 0.149123  |  val_loss = 0.149869  |  training_for: 4.65
epoch = 3  |  train_loss = 0.148392  |  val_loss = 0.150918  |  training_for: 6.10
epoch = 4  |  train_loss = 0.148140  |  val_loss = 0.150018  |  training_for: 7.55
epoch = 5  |  train_loss = 0.147974  |  val_loss = 0.150495  |  training_for: 8.99
epoch = 6  |  train_loss = 0.147887  |  val_loss = 0.150610  |  training_for: 10.44
epoch = 7  |  train_loss = 0.147799  |  val_loss = 0.150568  |  training_for: 11.88
epoch = 8  |  train_loss = 0.147763  |  val_loss = 0.150948  |  training_for: 13.31
epoch = 9  |  train_loss = 0.147703  |  val_loss = 0.150339  |  training_for: 14.75
epoch = 10  |  train_loss = 0.147631  |  val_loss = 0.150765  |  training_for: 16.29
epoch = 11  |  train_loss = 0.147564  |  val_loss = 0.151467  |  training_for: 17.74
epoch = 12  |  train_loss = 0.147526  |  val_loss = 0.151699  |  training_for: 19.18
epoch = 13  |  train_loss = 0.147549  |  val_loss = 0.152406  |  training_for: 20.62
epoch = 14  |  train_loss = 0.147499  |  val_loss = 0.151860  |  training_for: 22.06
epoch = 15  |  train_loss = 0.147544  |  val_loss = 0.152206  |  training_for: 23.56
epoch = 16  |  train_loss = 0.147537  |  val_loss = 0.152175  |  training_for: 25.00
epoch = 17  |  train_loss = 0.147507  |  val_loss = 0.152028  |  training_for: 26.44
epoch = 18  |  train_loss = 0.147459  |  val_loss = 0.151506  |  training_for: 27.87
epoch = 19  |  train_loss = 0.147394  |  val_loss = 0.151379  |  training_for: 29.31
epoch = 20  |  train_loss = 0.147430  |  val_loss = 0.151860  |  training_for: 30.77
epoch = 21  |  train_loss = 0.147447  |  val_loss = 0.152193  |  training_for: 32.23
epoch = 22  |  train_loss = 0.147447  |  val_loss = 0.152032  |  training_for: 33.72
epoch = 23  |  train_loss = 0.147406  |  val_loss = 0.152537  |  training_for: 35.16
epoch = 24  |  train_loss = 0.147371  |  val_loss = 0.151499  |  training_for: 36.70
epoch = 25  |  train_loss = 0.147403  |  val_loss = 0.151861  |  training_for: 38.14
epoch = 26  |  train_loss = 0.147351  |  val_loss = 0.152322  |  training_for: 39.57
epoch = 27  |  train_loss = 0.147381  |  val_loss = 0.151920  |  training_for: 41.01
epoch = 28  |  train_loss = 0.147415  |  val_loss = 0.151741  |  training_for: 42.45
epoch = 29  |  train_loss = 0.147394  |  val_loss = 0.151813  |  training_for: 43.90
epoch = 30  |  train_loss = 0.147395  |  val_loss = 0.151597  |  training_for: 45.36
epoch = 31  |  train_loss = 0.147362  |  val_loss = 0.152056  |  training_for: 46.81
epoch = 32  |  train_loss = 0.147390  |  val_loss = 0.152006  |  training_for: 48.26
epoch = 33  |  train_loss = 0.147291  |  val_loss = 0.151914  |  training_for: 49.77
epoch = 34  |  train_loss = 0.147302  |  val_loss = 0.151518  |  training_for: 51.22
epoch = 35  |  train_loss = 0.147317  |  val_loss = 0.152089  |  training_for: 52.69
