
epoch = 0  |  train_loss = 0.159849  |  val_loss = 0.155148  |  training_for: 1.82
epoch = 1  |  train_loss = 0.150964  |  val_loss = 0.152753  |  training_for: 3.34
epoch = 2  |  train_loss = 0.149586  |  val_loss = 0.152912  |  training_for: 4.82
epoch = 3  |  train_loss = 0.149022  |  val_loss = 0.152350  |  training_for: 6.30
epoch = 4  |  train_loss = 0.148662  |  val_loss = 0.153430  |  training_for: 7.78
epoch = 5  |  train_loss = 0.148456  |  val_loss = 0.154082  |  training_for: 9.26
epoch = 6  |  train_loss = 0.148319  |  val_loss = 0.156277  |  training_for: 10.73
epoch = 7  |  train_loss = 0.148219  |  val_loss = 0.155802  |  training_for: 12.21
epoch = 8  |  train_loss = 0.148081  |  val_loss = 0.156318  |  training_for: 13.69
epoch = 9  |  train_loss = 0.148019  |  val_loss = 0.157981  |  training_for: 15.19
epoch = 10  |  train_loss = 0.148042  |  val_loss = 0.157203  |  training_for: 16.77
epoch = 11  |  train_loss = 0.147939  |  val_loss = 0.157398  |  training_for: 18.24
epoch = 12  |  train_loss = 0.147942  |  val_loss = 0.157532  |  training_for: 19.72
epoch = 13  |  train_loss = 0.147913  |  val_loss = 0.157947  |  training_for: 21.20
epoch = 14  |  train_loss = 0.147884  |  val_loss = 0.158090  |  training_for: 22.69
epoch = 15  |  train_loss = 0.147842  |  val_loss = 0.159371  |  training_for: 24.17
epoch = 16  |  train_loss = 0.147847  |  val_loss = 0.158675  |  training_for: 25.67
epoch = 17  |  train_loss = 0.147830  |  val_loss = 0.157931  |  training_for: 27.14
epoch = 18  |  train_loss = 0.147827  |  val_loss = 0.159126  |  training_for: 28.69
epoch = 19  |  train_loss = 0.147808  |  val_loss = 0.159247  |  training_for: 30.24
epoch = 20  |  train_loss = 0.147787  |  val_loss = 0.158741  |  training_for: 31.77
epoch = 21  |  train_loss = 0.147873  |  val_loss = 0.159065  |  training_for: 33.29
epoch = 22  |  train_loss = 0.147789  |  val_loss = 0.158054  |  training_for: 34.79
epoch = 23  |  train_loss = 0.147735  |  val_loss = 0.158295  |  training_for: 36.46
epoch = 24  |  train_loss = 0.147699  |  val_loss = 0.158438  |  training_for: 38.02
epoch = 25  |  train_loss = 0.147695  |  val_loss = 0.157869  |  training_for: 39.59
epoch = 26  |  train_loss = 0.147694  |  val_loss = 0.157126  |  training_for: 41.15
epoch = 27  |  train_loss = 0.147737  |  val_loss = 0.158062  |  training_for: 42.69
epoch = 28  |  train_loss = 0.147712  |  val_loss = 0.159164  |  training_for: 44.30
epoch = 29  |  train_loss = 0.147703  |  val_loss = 0.157167  |  training_for: 45.79
epoch = 30  |  train_loss = 0.147694  |  val_loss = 0.158047  |  training_for: 47.34
epoch = 31  |  train_loss = 0.147699  |  val_loss = 0.158741  |  training_for: 48.89
epoch = 32  |  train_loss = 0.147736  |  val_loss = 0.157762  |  training_for: 50.38
epoch = 33  |  train_loss = 0.147731  |  val_loss = 0.158186  |  training_for: 51.85
epoch = 34  |  train_loss = 0.147692  |  val_loss = 0.158958  |  training_for: 53.33
epoch = 35  |  train_loss = 0.147707  |  val_loss = 0.158150  |  training_for: 54.82
epoch = 36  |  train_loss = 0.147707  |  val_loss = 0.158540  |  training_for: 56.40
epoch = 37  |  train_loss = 0.147676  |  val_loss = 0.159261  |  training_for: 57.88
epoch = 38  |  train_loss = 0.147733  |  val_loss = 0.159148  |  training_for: 59.36
epoch = 39  |  train_loss = 0.147705  |  val_loss = 0.159163  |  training_for: 60.85
epoch = 40  |  train_loss = 0.147742  |  val_loss = 0.158533  |  training_for: 62.34
epoch = 41  |  train_loss = 0.147713  |  val_loss = 0.158251  |  training_for: 63.81
epoch = 42  |  train_loss = 0.147691  |  val_loss = 0.158813  |  training_for: 65.28
epoch = 43  |  train_loss = 0.147645  |  val_loss = 0.158752  |  training_for: 66.78
epoch = 44  |  train_loss = 0.147643  |  val_loss = 0.158909  |  training_for: 68.34
epoch = 45  |  train_loss = 0.147670  |  val_loss = 0.158842  |  training_for: 69.90
epoch = 46  |  train_loss = 0.147670  |  val_loss = 0.159193  |  training_for: 71.44
epoch = 47  |  train_loss = 0.147675  |  val_loss = 0.159754  |  training_for: 72.92
epoch = 48  |  train_loss = 0.147669  |  val_loss = 0.158832  |  training_for: 74.42
epoch = 49  |  train_loss = 0.147619  |  val_loss = 0.158162  |  training_for: 75.91
epoch = 50  |  train_loss = 0.147612  |  val_loss = 0.158342  |  training_for: 77.50
epoch = 51  |  train_loss = 0.147653  |  val_loss = 0.158804  |  training_for: 78.99
epoch = 52  |  train_loss = 0.147620  |  val_loss = 0.159065  |  training_for: 80.48
epoch = 53  |  train_loss = 0.147620  |  val_loss = 0.158625  |  training_for: 81.97
epoch = 54  |  train_loss = 0.147640  |  val_loss = 0.158362  |  training_for: 83.45
epoch = 55  |  train_loss = 0.147690  |  val_loss = 0.159176  |  training_for: 84.94
epoch = 56  |  train_loss = 0.147616  |  val_loss = 0.158651  |  training_for: 86.43
epoch = 57  |  train_loss = 0.147616  |  val_loss = 0.157955  |  training_for: 87.91
epoch = 58  |  train_loss = 0.147621  |  val_loss = 0.159402  |  training_for: 89.40
epoch = 59  |  train_loss = 0.147634  |  val_loss = 0.158332  |  training_for: 90.90
epoch = 60  |  train_loss = 0.147655  |  val_loss = 0.159115  |  training_for: 92.40
epoch = 61  |  train_loss = 0.147628  |  val_loss = 0.158222  |  training_for: 93.89
epoch = 62  |  train_loss = 0.147654  |  val_loss = 0.159900  |  training_for: 95.38
epoch = 63  |  train_loss = 0.147662  |  val_loss = 0.160008  |  training_for: 96.97
epoch = 64  |  train_loss = 0.147653  |  val_loss = 0.159892  |  training_for: 98.46
epoch = 65  |  train_loss = 0.147616  |  val_loss = 0.160051  |  training_for: 99.96
epoch = 66  |  train_loss = 0.147603  |  val_loss = 0.159287  |  training_for: 101.48
epoch = 67  |  train_loss = 0.147588  |  val_loss = 0.158837  |  training_for: 102.97
epoch = 68  |  train_loss = 0.147584  |  val_loss = 0.160140  |  training_for: 104.49
epoch = 69  |  train_loss = 0.147594  |  val_loss = 0.159767  |  training_for: 106.01
epoch = 70  |  train_loss = 0.147564  |  val_loss = 0.160610  |  training_for: 107.49
epoch = 71  |  train_loss = 0.147545  |  val_loss = 0.159401  |  training_for: 108.97
epoch = 72  |  train_loss = 0.147560  |  val_loss = 0.158729  |  training_for: 110.47
epoch = 73  |  train_loss = 0.147593  |  val_loss = 0.160088  |  training_for: 111.95
epoch = 74  |  train_loss = 0.147613  |  val_loss = 0.160766  |  training_for: 113.44
epoch = 75  |  train_loss = 0.147610  |  val_loss = 0.159477  |  training_for: 114.94
epoch = 76  |  train_loss = 0.147577  |  val_loss = 0.159077  |  training_for: 116.53
epoch = 77  |  train_loss = 0.147605  |  val_loss = 0.160098  |  training_for: 118.03
epoch = 78  |  train_loss = 0.147611  |  val_loss = 0.159224  |  training_for: 119.52
epoch = 79  |  train_loss = 0.147625  |  val_loss = 0.161191  |  training_for: 121.05
epoch = 80  |  train_loss = 0.147626  |  val_loss = 0.160090  |  training_for: 122.53
epoch = 81  |  train_loss = 0.147605  |  val_loss = 0.160302  |  training_for: 124.04
epoch = 82  |  train_loss = 0.147585  |  val_loss = 0.159934  |  training_for: 125.53
epoch = 83  |  train_loss = 0.147583  |  val_loss = 0.160352  |  training_for: 127.01
epoch = 84  |  train_loss = 0.147606  |  val_loss = 0.160067  |  training_for: 128.54
epoch = 85  |  train_loss = 0.147604  |  val_loss = 0.161079  |  training_for: 130.04
epoch = 86  |  train_loss = 0.147603  |  val_loss = 0.159670  |  training_for: 131.52
epoch = 87  |  train_loss = 0.147543  |  val_loss = 0.160109  |  training_for: 133.00
epoch = 88  |  train_loss = 0.147528  |  val_loss = 0.159721  |  training_for: 134.48
epoch = 89  |  train_loss = 0.147551  |  val_loss = 0.160047  |  training_for: 135.99
epoch = 90  |  train_loss = 0.147557  |  val_loss = 0.159947  |  training_for: 137.61
epoch = 91  |  train_loss = 0.147560  |  val_loss = 0.160105  |  training_for: 139.11
epoch = 92  |  train_loss = 0.147546  |  val_loss = 0.159858  |  training_for: 140.63
epoch = 93  |  train_loss = 0.147574  |  val_loss = 0.160659  |  training_for: 142.12
epoch = 94  |  train_loss = 0.147566  |  val_loss = 0.160108  |  training_for: 143.60
epoch = 95  |  train_loss = 0.147545  |  val_loss = 0.159900  |  training_for: 145.09
epoch = 96  |  train_loss = 0.147539  |  val_loss = 0.159817  |  training_for: 146.58
epoch = 97  |  train_loss = 0.147564  |  val_loss = 0.159714  |  training_for: 148.07
epoch = 98  |  train_loss = 0.147566  |  val_loss = 0.159994  |  training_for: 149.55
epoch = 99  |  train_loss = 0.147554  |  val_loss = 0.158935  |  training_for: 151.06
epoch = 100  |  train_loss = 0.147602  |  val_loss = 0.160220  |  training_for: 152.55
epoch = 101  |  train_loss = 0.147580  |  val_loss = 0.160282  |  training_for: 154.03
epoch = 102  |  train_loss = 0.147590  |  val_loss = 0.160454  |  training_for: 155.51
epoch = 103  |  train_loss = 0.147567  |  val_loss = 0.159685  |  training_for: 157.10
epoch = 104  |  train_loss = 0.147537  |  val_loss = 0.158812  |  training_for: 158.59
epoch = 105  |  train_loss = 0.147554  |  val_loss = 0.161360  |  training_for: 160.07
epoch = 106  |  train_loss = 0.147550  |  val_loss = 0.159966  |  training_for: 161.56
epoch = 107  |  train_loss = 0.147579  |  val_loss = 0.160851  |  training_for: 163.08
epoch = 108  |  train_loss = 0.147589  |  val_loss = 0.159699  |  training_for: 164.56
epoch = 109  |  train_loss = 0.147585  |  val_loss = 0.159602  |  training_for: 166.11
epoch = 110  |  train_loss = 0.147583  |  val_loss = 0.159790  |  training_for: 167.60
epoch = 111  |  train_loss = 0.147547  |  val_loss = 0.159286  |  training_for: 169.07
epoch = 112  |  train_loss = 0.147557  |  val_loss = 0.161042  |  training_for: 170.56
epoch = 113  |  train_loss = 0.147573  |  val_loss = 0.158952  |  training_for: 172.05
epoch = 114  |  train_loss = 0.147523  |  val_loss = 0.159210  |  training_for: 173.54
epoch = 115  |  train_loss = 0.147543  |  val_loss = 0.160302  |  training_for: 175.04
epoch = 116  |  train_loss = 0.147541  |  val_loss = 0.158918  |  training_for: 176.52
epoch = 117  |  train_loss = 0.147539  |  val_loss = 0.159062  |  training_for: 178.10
epoch = 118  |  train_loss = 0.147524  |  val_loss = 0.159936  |  training_for: 179.58
epoch = 119  |  train_loss = 0.147515  |  val_loss = 0.159373  |  training_for: 181.09
epoch = 120  |  train_loss = 0.147550  |  val_loss = 0.159772  |  training_for: 182.56
epoch = 121  |  train_loss = 0.147561  |  val_loss = 0.159491  |  training_for: 184.05
epoch = 122  |  train_loss = 0.147567  |  val_loss = 0.160684  |  training_for: 185.55
epoch = 123  |  train_loss = 0.147541  |  val_loss = 0.159664  |  training_for: 187.05
epoch = 124  |  train_loss = 0.147545  |  val_loss = 0.159910  |  training_for: 188.53
epoch = 125  |  train_loss = 0.147526  |  val_loss = 0.159761  |  training_for: 190.00
epoch = 126  |  train_loss = 0.147496  |  val_loss = 0.159450  |  training_for: 191.48
epoch = 127  |  train_loss = 0.147489  |  val_loss = 0.159559  |  training_for: 192.96
