epoch = 0  |  train_loss = 0.163448  |  val_loss = 0.161914  |  training_for: 1.77
epoch = 1  |  train_loss = 0.154315  |  val_loss = 0.158463  |  training_for: 3.18
epoch = 2  |  train_loss = 0.151775  |  val_loss = 0.158748  |  training_for: 4.60
epoch = 3  |  train_loss = 0.150253  |  val_loss = 0.158961  |  training_for: 6.02
epoch = 4  |  train_loss = 0.149337  |  val_loss = 0.159093  |  training_for: 7.47
epoch = 5  |  train_loss = 0.148883  |  val_loss = 0.159698  |  training_for: 8.88
epoch = 6  |  train_loss = 0.148653  |  val_loss = 0.159143  |  training_for: 10.30
epoch = 7  |  train_loss = 0.148538  |  val_loss = 0.159066  |  training_for: 11.72
epoch = 8  |  train_loss = 0.148516  |  val_loss = 0.158975  |  training_for: 13.15
epoch = 9  |  train_loss = 0.148450  |  val_loss = 0.158797  |  training_for: 14.56
epoch = 10  |  train_loss = 0.148388  |  val_loss = 0.159014  |  training_for: 16.13
epoch = 11  |  train_loss = 0.148377  |  val_loss = 0.159062  |  training_for: 17.54
epoch = 12  |  train_loss = 0.148348  |  val_loss = 0.159051  |  training_for: 18.96
epoch = 13  |  train_loss = 0.148329  |  val_loss = 0.159269  |  training_for: 20.37
epoch = 14  |  train_loss = 0.148319  |  val_loss = 0.158844  |  training_for: 21.79
epoch = 15  |  train_loss = 0.148347  |  val_loss = 0.160180  |  training_for: 23.22
epoch = 16  |  train_loss = 0.148346  |  val_loss = 0.159121  |  training_for: 24.64
epoch = 17  |  train_loss = 0.148288  |  val_loss = 0.159711  |  training_for: 26.06
epoch = 18  |  train_loss = 0.148273  |  val_loss = 0.159439  |  training_for: 27.49
epoch = 19  |  train_loss = 0.148253  |  val_loss = 0.160546  |  training_for: 28.92
epoch = 20  |  train_loss = 0.148270  |  val_loss = 0.159172  |  training_for: 30.36
epoch = 21  |  train_loss = 0.148247  |  val_loss = 0.159733  |  training_for: 31.77
epoch = 22  |  train_loss = 0.148285  |  val_loss = 0.159794  |  training_for: 33.19
epoch = 23  |  train_loss = 0.148295  |  val_loss = 0.159605  |  training_for: 34.71
epoch = 24  |  train_loss = 0.148287  |  val_loss = 0.159235  |  training_for: 36.14
epoch = 25  |  train_loss = 0.148250  |  val_loss = 0.158979  |  training_for: 37.57
epoch = 26  |  train_loss = 0.148237  |  val_loss = 0.158875  |  training_for: 38.99
epoch = 27  |  train_loss = 0.148218  |  val_loss = 0.158420  |  training_for: 40.42
epoch = 28  |  train_loss = 0.148209  |  val_loss = 0.158999  |  training_for: 41.85
epoch = 29  |  train_loss = 0.148220  |  val_loss = 0.158490  |  training_for: 43.28
epoch = 30  |  train_loss = 0.148233  |  val_loss = 0.158427  |  training_for: 44.71
epoch = 31  |  train_loss = 0.148223  |  val_loss = 0.158230  |  training_for: 46.15
epoch = 32  |  train_loss = 0.148255  |  val_loss = 0.158105  |  training_for: 47.43
epoch = 33  |  train_loss = 0.148201  |  val_loss = 0.157512  |  training_for: 48.72
epoch = 34  |  train_loss = 0.148198  |  val_loss = 0.157876  |  training_for: 50.01
epoch = 35  |  train_loss = 0.148173  |  val_loss = 0.157749  |  training_for: 51.30
epoch = 36  |  train_loss = 0.148171  |  val_loss = 0.157915  |  training_for: 52.68
epoch = 37  |  train_loss = 0.148187  |  val_loss = 0.157738  |  training_for: 54.09
epoch = 38  |  train_loss = 0.148198  |  val_loss = 0.157939  |  training_for: 55.52
epoch = 39  |  train_loss = 0.148161  |  val_loss = 0.156609  |  training_for: 56.94
epoch = 40  |  train_loss = 0.148169  |  val_loss = 0.157657  |  training_for: 58.37
epoch = 41  |  train_loss = 0.148153  |  val_loss = 0.156089  |  training_for: 59.80
epoch = 42  |  train_loss = 0.148129  |  val_loss = 0.156984  |  training_for: 61.23
epoch = 43  |  train_loss = 0.148156  |  val_loss = 0.157154  |  training_for: 62.66
epoch = 44  |  train_loss = 0.148157  |  val_loss = 0.156792  |  training_for: 64.08
epoch = 45  |  train_loss = 0.148161  |  val_loss = 0.156817  |  training_for: 65.50
epoch = 46  |  train_loss = 0.148137  |  val_loss = 0.156223  |  training_for: 66.93
epoch = 47  |  train_loss = 0.148130  |  val_loss = 0.156393  |  training_for: 68.37
epoch = 48  |  train_loss = 0.148138  |  val_loss = 0.155843  |  training_for: 69.80
epoch = 49  |  train_loss = 0.148117  |  val_loss = 0.156201  |  training_for: 71.23
epoch = 50  |  train_loss = 0.148150  |  val_loss = 0.156699  |  training_for: 72.76
epoch = 51  |  train_loss = 0.148208  |  val_loss = 0.155739  |  training_for: 74.19
epoch = 52  |  train_loss = 0.148166  |  val_loss = 0.154864  |  training_for: 75.65
epoch = 53  |  train_loss = 0.148142  |  val_loss = 0.155557  |  training_for: 77.11
epoch = 54  |  train_loss = 0.148140  |  val_loss = 0.155347  |  training_for: 78.55
epoch = 55  |  train_loss = 0.148127  |  val_loss = 0.156251  |  training_for: 79.98
epoch = 56  |  train_loss = 0.148165  |  val_loss = 0.155501  |  training_for: 81.40
epoch = 57  |  train_loss = 0.148116  |  val_loss = 0.155617  |  training_for: 82.86
epoch = 58  |  train_loss = 0.148117  |  val_loss = 0.155572  |  training_for: 84.30
epoch = 59  |  train_loss = 0.148091  |  val_loss = 0.154449  |  training_for: 85.77
epoch = 60  |  train_loss = 0.148093  |  val_loss = 0.155864  |  training_for: 87.21
epoch = 61  |  train_loss = 0.148123  |  val_loss = 0.155412  |  training_for: 88.64
epoch = 62  |  train_loss = 0.148091  |  val_loss = 0.155295  |  training_for: 90.06
epoch = 63  |  train_loss = 0.148119  |  val_loss = 0.155731  |  training_for: 91.59
epoch = 64  |  train_loss = 0.148120  |  val_loss = 0.155344  |  training_for: 93.04
epoch = 65  |  train_loss = 0.148095  |  val_loss = 0.155463  |  training_for: 94.50
epoch = 66  |  train_loss = 0.148107  |  val_loss = 0.154671  |  training_for: 95.89
epoch = 67  |  train_loss = 0.148109  |  val_loss = 0.155438  |  training_for: 97.33
epoch = 68  |  train_loss = 0.148100  |  val_loss = 0.153926  |  training_for: 98.77
epoch = 69  |  train_loss = 0.148125  |  val_loss = 0.154438  |  training_for: 100.21
epoch = 70  |  train_loss = 0.148115  |  val_loss = 0.154219  |  training_for: 101.64
epoch = 71  |  train_loss = 0.148098  |  val_loss = 0.154392  |  training_for: 103.07
epoch = 72  |  train_loss = 0.148093  |  val_loss = 0.155383  |  training_for: 104.53
epoch = 73  |  train_loss = 0.148107  |  val_loss = 0.155051  |  training_for: 105.99
epoch = 74  |  train_loss = 0.148078  |  val_loss = 0.155607  |  training_for: 107.44
epoch = 75  |  train_loss = 0.148066  |  val_loss = 0.154853  |  training_for: 108.86
epoch = 76  |  train_loss = 0.148080  |  val_loss = 0.155341  |  training_for: 110.39
epoch = 77  |  train_loss = 0.148089  |  val_loss = 0.154551  |  training_for: 111.82
epoch = 78  |  train_loss = 0.148066  |  val_loss = 0.155336  |  training_for: 113.25
epoch = 79  |  train_loss = 0.148067  |  val_loss = 0.155168  |  training_for: 114.68
epoch = 80  |  train_loss = 0.148066  |  val_loss = 0.155181  |  training_for: 116.11
epoch = 81  |  train_loss = 0.148067  |  val_loss = 0.154909  |  training_for: 117.59
epoch = 82  |  train_loss = 0.148056  |  val_loss = 0.154914  |  training_for: 119.04
epoch = 83  |  train_loss = 0.148080  |  val_loss = 0.155492  |  training_for: 120.50
epoch = 84  |  train_loss = 0.148096  |  val_loss = 0.154997  |  training_for: 121.94
epoch = 85  |  train_loss = 0.148075  |  val_loss = 0.154741  |  training_for: 123.38
epoch = 86  |  train_loss = 0.148063  |  val_loss = 0.154685  |  training_for: 124.82
epoch = 87  |  train_loss = 0.148110  |  val_loss = 0.155253  |  training_for: 126.23
epoch = 88  |  train_loss = 0.148057  |  val_loss = 0.154533  |  training_for: 127.68
epoch = 89  |  train_loss = 0.148029  |  val_loss = 0.154567  |  training_for: 129.11
epoch = 90  |  train_loss = 0.148045  |  val_loss = 0.155446  |  training_for: 130.65
epoch = 91  |  train_loss = 0.148038  |  val_loss = 0.154905  |  training_for: 132.11
epoch = 92  |  train_loss = 0.148049  |  val_loss = 0.155530  |  training_for: 133.52
epoch = 93  |  train_loss = 0.148056  |  val_loss = 0.155219  |  training_for: 134.99
epoch = 94  |  train_loss = 0.148050  |  val_loss = 0.155224  |  training_for: 136.46
epoch = 95  |  train_loss = 0.148044  |  val_loss = 0.154700  |  training_for: 137.89
epoch = 96  |  train_loss = 0.148039  |  val_loss = 0.154501  |  training_for: 139.31
epoch = 97  |  train_loss = 0.148027  |  val_loss = 0.154628  |  training_for: 140.75
epoch = 98  |  train_loss = 0.148015  |  val_loss = 0.155123  |  training_for: 142.16
epoch = 99  |  train_loss = 0.148026  |  val_loss = 0.155271  |  training_for: 143.58
epoch = 100  |  train_loss = 0.148052  |  val_loss = 0.155366  |  training_for: 145.02
epoch = 101  |  train_loss = 0.148081  |  val_loss = 0.154644  |  training_for: 146.44
epoch = 102  |  train_loss = 0.148031  |  val_loss = 0.154872  |  training_for: 147.89
epoch = 103  |  train_loss = 0.148049  |  val_loss = 0.155082  |  training_for: 149.44
epoch = 104  |  train_loss = 0.148036  |  val_loss = 0.154958  |  training_for: 150.89
epoch = 105  |  train_loss = 0.148020  |  val_loss = 0.155384  |  training_for: 152.34
epoch = 106  |  train_loss = 0.148063  |  val_loss = 0.155089  |  training_for: 153.78
epoch = 107  |  train_loss = 0.148071  |  val_loss = 0.154637  |  training_for: 155.20
epoch = 108  |  train_loss = 0.148052  |  val_loss = 0.155172  |  training_for: 156.64
epoch = 109  |  train_loss = 0.148076  |  val_loss = 0.154474  |  training_for: 158.06
epoch = 110  |  train_loss = 0.148056  |  val_loss = 0.154983  |  training_for: 159.51
epoch = 111  |  train_loss = 0.148046  |  val_loss = 0.155078  |  training_for: 160.97
epoch = 112  |  train_loss = 0.148013  |  val_loss = 0.154692  |  training_for: 162.45
epoch = 113  |  train_loss = 0.148003  |  val_loss = 0.154646  |  training_for: 163.90
epoch = 114  |  train_loss = 0.148028  |  val_loss = 0.154581  |  training_for: 165.33
epoch = 115  |  train_loss = 0.148017  |  val_loss = 0.154411  |  training_for: 166.76
epoch = 116  |  train_loss = 0.147998  |  val_loss = 0.154704  |  training_for: 168.19
epoch = 117  |  train_loss = 0.147994  |  val_loss = 0.154725  |  training_for: 169.71
epoch = 118  |  train_loss = 0.147995  |  val_loss = 0.154635  |  training_for: 171.18
epoch = 119  |  train_loss = 0.148019  |  val_loss = 0.154287  |  training_for: 172.62
epoch = 120  |  train_loss = 0.148019  |  val_loss = 0.154815  |  training_for: 174.07
epoch = 121  |  train_loss = 0.148010  |  val_loss = 0.154596  |  training_for: 175.51
epoch = 122  |  train_loss = 0.148010  |  val_loss = 0.155130  |  training_for: 176.95
epoch = 123  |  train_loss = 0.147999  |  val_loss = 0.154512  |  training_for: 178.42
epoch = 124  |  train_loss = 0.148025  |  val_loss = 0.154790  |  training_for: 179.86
epoch = 125  |  train_loss = 0.148027  |  val_loss = 0.154474  |  training_for: 181.31
epoch = 126  |  train_loss = 0.148009  |  val_loss = 0.154975  |  training_for: 182.73
epoch = 127  |  train_loss = 0.148017  |  val_loss = 0.153804  |  training_for: 184.16
epoch = 128  |  train_loss = 0.148005  |  val_loss = 0.155002  |  training_for: 185.60
epoch = 129  |  train_loss = 0.147991  |  val_loss = 0.154426  |  training_for: 187.03
epoch = 130  |  train_loss = 0.148016  |  val_loss = 0.153909  |  training_for: 188.55
epoch = 131  |  train_loss = 0.148006  |  val_loss = 0.154881  |  training_for: 189.99
epoch = 132  |  train_loss = 0.148001  |  val_loss = 0.155192  |  training_for: 191.45
epoch = 133  |  train_loss = 0.148020  |  val_loss = 0.153971  |  training_for: 192.89
epoch = 134  |  train_loss = 0.148021  |  val_loss = 0.154910  |  training_for: 194.33
epoch = 135  |  train_loss = 0.148000  |  val_loss = 0.154017  |  training_for: 195.77
epoch = 136  |  train_loss = 0.148036  |  val_loss = 0.154358  |  training_for: 197.21
epoch = 137  |  train_loss = 0.148005  |  val_loss = 0.154036  |  training_for: 198.64
epoch = 138  |  train_loss = 0.147984  |  val_loss = 0.154198  |  training_for: 200.05
epoch = 139  |  train_loss = 0.147973  |  val_loss = 0.154073  |  training_for: 201.48
epoch = 140  |  train_loss = 0.148003  |  val_loss = 0.154416  |  training_for: 202.93
epoch = 141  |  train_loss = 0.147988  |  val_loss = 0.154201  |  training_for: 204.37
epoch = 142  |  train_loss = 0.147993  |  val_loss = 0.153991  |  training_for: 205.81
epoch = 143  |  train_loss = 0.147995  |  val_loss = 0.154259  |  training_for: 207.24
epoch = 144  |  train_loss = 0.147992  |  val_loss = 0.154541  |  training_for: 208.79
epoch = 145  |  train_loss = 0.148009  |  val_loss = 0.153921  |  training_for: 210.24
epoch = 146  |  train_loss = 0.147989  |  val_loss = 0.154248  |  training_for: 211.68
epoch = 147  |  train_loss = 0.147990  |  val_loss = 0.154759  |  training_for: 213.14
epoch = 148  |  train_loss = 0.148016  |  val_loss = 0.153903  |  training_for: 214.61
epoch = 149  |  train_loss = 0.148007  |  val_loss = 0.154300  |  training_for: 216.03
epoch = 150  |  train_loss = 0.147996  |  val_loss = 0.154835  |  training_for: 217.45
epoch = 151  |  train_loss = 0.147992  |  val_loss = 0.154091  |  training_for: 218.93
epoch = 152  |  train_loss = 0.147979  |  val_loss = 0.154358  |  training_for: 220.37
epoch = 153  |  train_loss = 0.147984  |  val_loss = 0.154560  |  training_for: 221.82
epoch = 154  |  train_loss = 0.148013  |  val_loss = 0.154292  |  training_for: 223.30
epoch = 155  |  train_loss = 0.147990  |  val_loss = 0.154194  |  training_for: 224.75
epoch = 156  |  train_loss = 0.147986  |  val_loss = 0.154537  |  training_for: 226.21
epoch = 157  |  train_loss = 0.147981  |  val_loss = 0.154257  |  training_for: 227.72
epoch = 158  |  train_loss = 0.147978  |  val_loss = 0.153842  |  training_for: 229.16
epoch = 159  |  train_loss = 0.147976  |  val_loss = 0.154819  |  training_for: 230.60
epoch = 160  |  train_loss = 0.147975  |  val_loss = 0.154441  |  training_for: 232.04
epoch = 161  |  train_loss = 0.147971  |  val_loss = 0.154691  |  training_for: 233.47
epoch = 162  |  train_loss = 0.147999  |  val_loss = 0.153361  |  training_for: 234.92
epoch = 163  |  train_loss = 0.147997  |  val_loss = 0.154853  |  training_for: 236.38
epoch = 164  |  train_loss = 0.148007  |  val_loss = 0.154849  |  training_for: 237.83
epoch = 165  |  train_loss = 0.147995  |  val_loss = 0.154235  |  training_for: 239.30
epoch = 166  |  train_loss = 0.147992  |  val_loss = 0.154343  |  training_for: 240.74
epoch = 167  |  train_loss = 0.147973  |  val_loss = 0.154553  |  training_for: 242.17
epoch = 168  |  train_loss = 0.147989  |  val_loss = 0.154132  |  training_for: 243.60
epoch = 169  |  train_loss = 0.147964  |  val_loss = 0.155495  |  training_for: 245.03
epoch = 170  |  train_loss = 0.147998  |  val_loss = 0.154547  |  training_for: 246.47
epoch = 171  |  train_loss = 0.147980  |  val_loss = 0.153894  |  training_for: 248.01
epoch = 172  |  train_loss = 0.147980  |  val_loss = 0.153623  |  training_for: 249.46
epoch = 173  |  train_loss = 0.147958  |  val_loss = 0.154037  |  training_for: 250.89
epoch = 174  |  train_loss = 0.147957  |  val_loss = 0.153972  |  training_for: 252.33
epoch = 175  |  train_loss = 0.147999  |  val_loss = 0.154159  |  training_for: 253.79
epoch = 176  |  train_loss = 0.148009  |  val_loss = 0.154459  |  training_for: 255.24
epoch = 177  |  train_loss = 0.147998  |  val_loss = 0.155117  |  training_for: 256.68
epoch = 178  |  train_loss = 0.147997  |  val_loss = 0.154075  |  training_for: 258.13
epoch = 179  |  train_loss = 0.147943  |  val_loss = 0.154000  |  training_for: 259.57
epoch = 180  |  train_loss = 0.147934  |  val_loss = 0.154201  |  training_for: 261.00
epoch = 181  |  train_loss = 0.147942  |  val_loss = 0.155129  |  training_for: 262.44
epoch = 182  |  train_loss = 0.147954  |  val_loss = 0.154203  |  training_for: 263.87
epoch = 183  |  train_loss = 0.147956  |  val_loss = 0.153850  |  training_for: 265.31
epoch = 184  |  train_loss = 0.147946  |  val_loss = 0.154510  |  training_for: 266.76
epoch = 185  |  train_loss = 0.147972  |  val_loss = 0.153824  |  training_for: 268.29
epoch = 186  |  train_loss = 0.147960  |  val_loss = 0.153940  |  training_for: 269.74
epoch = 187  |  train_loss = 0.147980  |  val_loss = 0.154048  |  training_for: 271.18
epoch = 188  |  train_loss = 0.147982  |  val_loss = 0.153567  |  training_for: 272.63
epoch = 189  |  train_loss = 0.147981  |  val_loss = 0.153799  |  training_for: 273.97
epoch = 190  |  train_loss = 0.147992  |  val_loss = 0.153960  |  training_for: 275.41
epoch = 191  |  train_loss = 0.147980  |  val_loss = 0.154303  |  training_for: 276.86
epoch = 192  |  train_loss = 0.147944  |  val_loss = 0.154171  |  training_for: 278.30
epoch = 193  |  train_loss = 0.147967  |  val_loss = 0.154479  |  training_for: 279.75
epoch = 194  |  train_loss = 0.147946  |  val_loss = 0.154642  |  training_for: 281.19
epoch = 195  |  train_loss = 0.147944  |  val_loss = 0.153746  |  training_for: 282.64
epoch = 196  |  train_loss = 0.147953  |  val_loss = 0.153478  |  training_for: 284.09
epoch = 197  |  train_loss = 0.147969  |  val_loss = 0.154421  |  training_for: 285.53
epoch = 198  |  train_loss = 0.147980  |  val_loss = 0.154146  |  training_for: 287.10
epoch = 199  |  train_loss = 0.147955  |  val_loss = 0.154371  |  training_for: 288.54
epoch = 200  |  train_loss = 0.147938  |  val_loss = 0.154167  |  training_for: 290.00
epoch = 201  |  train_loss = 0.147925  |  val_loss = 0.154229  |  training_for: 291.44
epoch = 202  |  train_loss = 0.147940  |  val_loss = 0.153823  |  training_for: 292.88
epoch = 203  |  train_loss = 0.147940  |  val_loss = 0.154137  |  training_for: 294.32
epoch = 204  |  train_loss = 0.147963  |  val_loss = 0.153401  |  training_for: 295.76
epoch = 205  |  train_loss = 0.147946  |  val_loss = 0.153375  |  training_for: 297.21
epoch = 206  |  train_loss = 0.147961  |  val_loss = 0.154299  |  training_for: 298.66
epoch = 207  |  train_loss = 0.147961  |  val_loss = 0.154111  |  training_for: 300.11
epoch = 208  |  train_loss = 0.147929  |  val_loss = 0.153886  |  training_for: 301.57
epoch = 209  |  train_loss = 0.147969  |  val_loss = 0.153473  |  training_for: 302.98
epoch = 210  |  train_loss = 0.147951  |  val_loss = 0.154295  |  training_for: 304.43
epoch = 211  |  train_loss = 0.147952  |  val_loss = 0.153929  |  training_for: 305.85
epoch = 212  |  train_loss = 0.147935  |  val_loss = 0.153910  |  training_for: 307.40
epoch = 213  |  train_loss = 0.147946  |  val_loss = 0.153598  |  training_for: 308.84
epoch = 214  |  train_loss = 0.147969  |  val_loss = 0.153914  |  training_for: 310.30
epoch = 215  |  train_loss = 0.147942  |  val_loss = 0.154511  |  training_for: 311.74
epoch = 216  |  train_loss = 0.147937  |  val_loss = 0.153521  |  training_for: 313.22
epoch = 217  |  train_loss = 0.147931  |  val_loss = 0.153636  |  training_for: 314.66
epoch = 218  |  train_loss = 0.147952  |  val_loss = 0.153297  |  training_for: 316.10
epoch = 219  |  train_loss = 0.147942  |  val_loss = 0.154509  |  training_for: 317.54
epoch = 220  |  train_loss = 0.147964  |  val_loss = 0.153540  |  training_for: 318.95
epoch = 221  |  train_loss = 0.147949  |  val_loss = 0.154179  |  training_for: 320.39
epoch = 222  |  train_loss = 0.147938  |  val_loss = 0.153932  |  training_for: 321.83
