epoch = 0  |  train_loss = 0.106896  |  val_loss = 0.095352  |  training_for: 1.34
epoch = 1  |  train_loss = 0.104839  |  val_loss = 0.094001  |  training_for: 2.33
epoch = 2  |  train_loss = 0.102305  |  val_loss = 0.092372  |  training_for: 3.37
epoch = 3  |  train_loss = 0.099840  |  val_loss = 0.091011  |  training_for: 4.34
epoch = 4  |  train_loss = 0.097912  |  val_loss = 0.089990  |  training_for: 5.32
epoch = 5  |  train_loss = 0.096344  |  val_loss = 0.089206  |  training_for: 6.29
epoch = 6  |  train_loss = 0.095134  |  val_loss = 0.088557  |  training_for: 7.28
epoch = 7  |  train_loss = 0.094092  |  val_loss = 0.088142  |  training_for: 8.28
epoch = 8  |  train_loss = 0.093365  |  val_loss = 0.088183  |  training_for: 9.36
epoch = 9  |  train_loss = 0.092921  |  val_loss = 0.088106  |  training_for: 10.35
epoch = 10  |  train_loss = 0.092596  |  val_loss = 0.088049  |  training_for: 11.35
epoch = 11  |  train_loss = 0.092344  |  val_loss = 0.087920  |  training_for: 12.33
epoch = 12  |  train_loss = 0.092133  |  val_loss = 0.087775  |  training_for: 13.32
epoch = 13  |  train_loss = 0.091940  |  val_loss = 0.087854  |  training_for: 14.30
epoch = 14  |  train_loss = 0.091770  |  val_loss = 0.087901  |  training_for: 15.30
epoch = 15  |  train_loss = 0.091635  |  val_loss = 0.088015  |  training_for: 16.40
epoch = 16  |  train_loss = 0.091529  |  val_loss = 0.088190  |  training_for: 17.38
epoch = 17  |  train_loss = 0.091420  |  val_loss = 0.088123  |  training_for: 18.36
epoch = 18  |  train_loss = 0.091336  |  val_loss = 0.088018  |  training_for: 19.34
epoch = 19  |  train_loss = 0.091265  |  val_loss = 0.088043  |  training_for: 20.33
epoch = 20  |  train_loss = 0.091203  |  val_loss = 0.087946  |  training_for: 21.33
epoch = 21  |  train_loss = 0.091152  |  val_loss = 0.087860  |  training_for: 22.31
epoch = 22  |  train_loss = 0.091102  |  val_loss = 0.087783  |  training_for: 23.30
epoch = 23  |  train_loss = 0.091069  |  val_loss = 0.087738  |  training_for: 24.28
epoch = 24  |  train_loss = 0.091024  |  val_loss = 0.087870  |  training_for: 25.26
epoch = 25  |  train_loss = 0.090988  |  val_loss = 0.087803  |  training_for: 26.35
epoch = 26  |  train_loss = 0.090956  |  val_loss = 0.087694  |  training_for: 27.32
epoch = 27  |  train_loss = 0.090937  |  val_loss = 0.087830  |  training_for: 28.30
epoch = 28  |  train_loss = 0.090907  |  val_loss = 0.087752  |  training_for: 29.28
epoch = 29  |  train_loss = 0.090875  |  val_loss = 0.087804  |  training_for: 30.26
epoch = 30  |  train_loss = 0.090860  |  val_loss = 0.087833  |  training_for: 31.22
epoch = 31  |  train_loss = 0.090832  |  val_loss = 0.087769  |  training_for: 32.18
epoch = 32  |  train_loss = 0.090812  |  val_loss = 0.087924  |  training_for: 33.16
epoch = 33  |  train_loss = 0.090791  |  val_loss = 0.087790  |  training_for: 34.14
epoch = 34  |  train_loss = 0.090767  |  val_loss = 0.087932  |  training_for: 35.11
epoch = 35  |  train_loss = 0.090747  |  val_loss = 0.087888  |  training_for: 36.10
