epoch = 0  |  train_loss = 0.108693  |  val_loss = 0.096558  |  training_for: 1.43
epoch = 1  |  train_loss = 0.108689  |  val_loss = 0.096551  |  training_for: 2.48
epoch = 2  |  train_loss = 0.108669  |  val_loss = 0.096539  |  training_for: 3.53
epoch = 3  |  train_loss = 0.108654  |  val_loss = 0.096526  |  training_for: 4.57
epoch = 4  |  train_loss = 0.108624  |  val_loss = 0.096504  |  training_for: 5.63
epoch = 5  |  train_loss = 0.108598  |  val_loss = 0.096480  |  training_for: 6.78
epoch = 6  |  train_loss = 0.108562  |  val_loss = 0.096451  |  training_for: 7.83
epoch = 7  |  train_loss = 0.108532  |  val_loss = 0.096415  |  training_for: 8.89
epoch = 8  |  train_loss = 0.108465  |  val_loss = 0.096374  |  training_for: 9.93
epoch = 9  |  train_loss = 0.108411  |  val_loss = 0.096327  |  training_for: 11.01
epoch = 10  |  train_loss = 0.108336  |  val_loss = 0.096273  |  training_for: 12.07
epoch = 11  |  train_loss = 0.108255  |  val_loss = 0.096214  |  training_for: 13.12
epoch = 12  |  train_loss = 0.108154  |  val_loss = 0.096140  |  training_for: 14.21
epoch = 13  |  train_loss = 0.108039  |  val_loss = 0.096055  |  training_for: 15.25
epoch = 14  |  train_loss = 0.107919  |  val_loss = 0.095961  |  training_for: 16.30
epoch = 15  |  train_loss = 0.107737  |  val_loss = 0.095849  |  training_for: 17.34
epoch = 16  |  train_loss = 0.107552  |  val_loss = 0.095723  |  training_for: 18.39
epoch = 17  |  train_loss = 0.107328  |  val_loss = 0.095571  |  training_for: 19.56
epoch = 18  |  train_loss = 0.107084  |  val_loss = 0.095397  |  training_for: 20.62
epoch = 19  |  train_loss = 0.106785  |  val_loss = 0.095200  |  training_for: 21.67
epoch = 20  |  train_loss = 0.106439  |  val_loss = 0.094970  |  training_for: 22.71
epoch = 21  |  train_loss = 0.106044  |  val_loss = 0.094700  |  training_for: 23.76
epoch = 22  |  train_loss = 0.105537  |  val_loss = 0.094398  |  training_for: 24.80
