2023-06-14 18:16:22,796 INFO    MainThread:669019 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-14 18:16:22,797 INFO    MainThread:669019 [wandb_setup.py:_flush():76] Configure stats pid to 669019
2023-06-14 18:16:22,797 INFO    MainThread:669019 [wandb_setup.py:_flush():76] Loading settings from /home/jwilkie/.config/wandb/settings
2023-06-14 18:16:22,797 INFO    MainThread:669019 [wandb_setup.py:_flush():76] Loading settings from /home/jwilkie/code_base/nids_ssl/wandb/settings
2023-06-14 18:16:22,797 INFO    MainThread:669019 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-14 18:16:22,797 INFO    MainThread:669019 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-06-14 18:16:22,797 INFO    MainThread:669019 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/jwilkie/code_base/nids_ssl/main.py'}
2023-06-14 18:16:22,797 INFO    MainThread:669019 [wandb_init.py:_log_setup():507] Logging user logs to /home/jwilkie/code_base/nids_ssl/wandb/run-20230614_181622-kur2bgy8/logs/debug.log
2023-06-14 18:16:22,797 INFO    MainThread:669019 [wandb_init.py:_log_setup():508] Logging internal logs to /home/jwilkie/code_base/nids_ssl/wandb/run-20230614_181622-kur2bgy8/logs/debug-internal.log
2023-06-14 18:16:22,797 INFO    MainThread:669019 [wandb_init.py:init():547] calling init triggers
2023-06-14 18:16:22,797 INFO    MainThread:669019 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'dataset': {'name': 'cicids2017', 'path': '~/data/CICIDS2017/cicids2017.csv', 'drop': ['proto', 'prt_dst', 'prt_src', 'num_src_flows', 'src_ip_dst_prt_delta'], 'train_test_ratio': 0.7, 'train_test_seed': 4558636}, 'model': {'name': 'saint', 'd_model': 32, 'encoder_d_ff': 64, 'd_proj_ff': 256, 'd_proj': 128, 'n_encoder_layers': 2, 'encoder_dropout': 0.3, 'dropout_ff': 0.3, 'dropout_attn': 0.3, 'n_heads': 8, 'p_sample_cutmix': 1.0, 'p_feature_cutmix': 0.3, 'p_sample_mixup': 1.0, 'p_feature_mixup': 1.0, 'alpha_mixup': 0.8, 'p_sample_jitter': 0.0, 'p_feature_jitter': 1.0, 'var_jitter': 0.01, 'encoder_norm': 'rms_norm', 'encoder_activation': 'swiglu', 'encoder_model': 'saint_s', 'n_numeric': 26, 'n_cat': 0, 'cats': []}, 'hyperparameters': {'epochs': 1000, 'batch_size': 2048, 'temperature': 0.7, 'lambda_pt': 0.3, 'supervised_lr': 0.0001, 'unsupervised_lr': 0.001, 'decay': 0.001}, 'name': 'saint cicids2017', 'script': 'train', 'device': 'cuda:1', 'project': 'saint_nids', 'run_name': 'test_run', 'log': True}
2023-06-14 18:16:22,798 INFO    MainThread:669019 [wandb_init.py:init():596] starting backend
2023-06-14 18:16:22,798 INFO    MainThread:669019 [wandb_init.py:init():600] setting up manager
2023-06-14 18:16:22,800 INFO    MainThread:669019 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-14 18:16:22,803 INFO    MainThread:669019 [wandb_init.py:init():606] backend started and connected
2023-06-14 18:16:22,805 INFO    MainThread:669019 [wandb_init.py:init():703] updated telemetry
2023-06-14 18:16:22,806 INFO    MainThread:669019 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-14 18:16:23,282 INFO    MainThread:669019 [wandb_run.py:_on_init():2176] communicating current version
2023-06-14 18:16:23,437 INFO    MainThread:669019 [wandb_run.py:_on_init():2185] got version response 
2023-06-14 18:16:23,438 INFO    MainThread:669019 [wandb_init.py:init():787] starting run threads in backend
2023-06-14 18:16:23,514 INFO    MainThread:669019 [wandb_run.py:_console_start():2155] atexit reg
2023-06-14 18:16:23,514 INFO    MainThread:669019 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2023-06-14 18:16:23,514 INFO    MainThread:669019 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-14 18:16:23,514 INFO    MainThread:669019 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-14 18:16:23,516 INFO    MainThread:669019 [wandb_init.py:init():828] run started, returning control to user process
2023-06-14 18:34:17,346 WARNING MsgRouterThr:669019 [router.py:message_loop():77] message_loop has been closed
